CountryName,CountryCode,RegionName,RegionCode,CityName,CityCode,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Brazil,BRA,Minas Gerais,BR_MG,State government,STATE_GOV,20200101,0.00,,"https://www.saude.mg.gov.br/coronavirus/legislacoes",0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,"As this is not attribution of the state, as there were no news about anything like that on the state hotsite focused on COVID-19 and as there were no hits on google with related key words, it is safe to assume that the state did not undertake any measures in this regard.",,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Minas Gerais,BR_MG,Belo Horizonte,BR_3106200,20200101,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,"As this is not attribution of the municipality, as there were no news about anything like that on the municipality website and as there were no hits on google with related key words, it is safe to assume that the municipality did not undertake any measures in this regard.",,,,,,,,,,0.00,,"No information was found on the government official websites or social media pages.",,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Santa Catarina,BR_SC,State government,STATE_GOV,20200101,0.00,,"http://www.coronavirus.sc.gov.br/",0.00,,"http://www.coronavirus.sc.gov.br/",0.00,,"http://www.coronavirus.sc.gov.br/",0.00,,"http://www.coronavirus.sc.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Santa Catarina,BR_SC,Florianopolis,BR_4205407,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Acre,BR_AC,Rio Branco,BR_1200401,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Acre,BR_AC,State government,STATE_GOV,20200101,0.00,,"http://www.diario.ac.gov.br/",0.00,,"http://www.diario.ac.gov.br/",0.00,,"http://www.diario.ac.gov.br/",0.00,,"http://www.diario.ac.gov.br/",0.00,,,0.00,,,0.00,,,0.00,"Until this date, no measures were adopted at state level.",,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Para,BR_PA,Belem,BR_1501402,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Para,BR_PA,State government,STATE_GOV,20200101,0.00,,"http://www.saude.pa.gov.br/coronavirus/",0.00,,"http://www.saude.pa.gov.br/coronavirus/",0.00,,"http://www.saude.pa.gov.br/coronavirus/",0.00,,"http://www.saude.pa.gov.br/coronavirus/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Paraiba,BR_PB,State government,STATE_GOV,20200101,0.00,,"https://paraiba.pb.gov.br/diretas/saude/coronavirus",0.00,,"https://paraiba.pb.gov.br/diretas/saude/coronavirus",0.00,,"https://paraiba.pb.gov.br/diretas/saude/coronavirus",0.00,,"https://paraiba.pb.gov.br/diretas/saude/coronavirus",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Paraiba,BR_PB,Joao Pessoa,BR_2507507,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
